gene	baseMean	log2FoldChange	padj	Comparison
PRR36	19.0432729557393	-20.2448065232672	5.01670305246806e-13	Short Survivor PC2 vs. Long Survivor PC2
AC011139.1	28.9595607305727	-20.2144181445162	1.26881207823599e-08	Short Survivor PC2 vs. Long Survivor PC2
SLC44A5	5.78919842714479	-20.1263039024245	6.30494268588849e-05	Short Survivor PC2 vs. Long Survivor PC2
PWRN1	4.89323159526833	-20.0087594946294	6.9318786266994e-08	Short Survivor PC2 vs. Long Survivor PC2
DCHS2	9.28942339597545	-19.5930805841269	1.15888497289368e-06	Short Survivor PC2 vs. Long Survivor PC2
DUOX1	11.6319607489423	-19.5316623791943	3.93708943132817e-07	Short Survivor PC2 vs. Long Survivor PC2
LINC01709	8.1324991074098	-18.9503459590301	1.92358483230934e-06	Short Survivor PC2 vs. Long Survivor PC2
ASIC1	101.497875017005	-18.5807473447162	9.06734036501224e-10	Short Survivor PC2 vs. Long Survivor PC2
ADGRL4	90.7252424650897	-10.4759927952063	0.00489551772384788	Short Survivor PC2 vs. Long Survivor PC2
DNASE1L3	91.5593956761827	-10.40273988551	0.00957125553650509	Short Survivor PC2 vs. Long Survivor PC2
HLA-DQA1	293.198247032375	-9.50143196753444	0.00411413780017646	Short Survivor PC2 vs. Long Survivor PC2
HBG2	170.871631399596	-8.85104957515645	0.0247797901831243	Short Survivor PC2 vs. Long Survivor PC2
AC010889.1	62.488001768696	-8.54829119746599	0.0351517794556685	Short Survivor PC2 vs. Long Survivor PC2
AC010889.2	58.815365417417	-8.50267733533831	0.0484747835951894	Short Survivor PC2 vs. Long Survivor PC2
MT-TA	31.5707341109541	-8.41623623879367	0.00313021953124906	Short Survivor PC2 vs. Long Survivor PC2
HBB	9908.37284178339	-8.3397405242578	0.00865967670468738	Short Survivor PC2 vs. Long Survivor PC2
ARNT2	60.6936654086014	-8.30897188946728	0.00475227132529573	Short Survivor PC2 vs. Long Survivor PC2
ANOS2P	55.5624430508512	-8.27309798559339	0.0309879401268116	Short Survivor PC2 vs. Long Survivor PC2
NR2F1	23.0530566349788	-8.23824027571581	0.0865710050355293	Short Survivor PC2 vs. Long Survivor PC2
MT-TN	33.924587108957	-8.23115222201024	0.0191783755356383	Short Survivor PC2 vs. Long Survivor PC2
EPHX2	58.2148173117807	-8.17302084192677	0.000176668775882242	Short Survivor PC2 vs. Long Survivor PC2
GABRA2	19.7710063476002	-8.04481377481936	0.0416687059024605	Short Survivor PC2 vs. Long Survivor PC2
MT-TC	21.9719871504437	-8.01446913156658	0.00489551772384788	Short Survivor PC2 vs. Long Survivor PC2
RHOJ	13.0896143473035	-7.66473035652365	0.0423446772743262	Short Survivor PC2 vs. Long Survivor PC2
FIGN	555.203082402438	-7.6590695890462	0.0106657288436084	Short Survivor PC2 vs. Long Survivor PC2
MAP3K15	27.9808436821077	-7.64615678034231	0.0599042852288716	Short Survivor PC2 vs. Long Survivor PC2
CEACAM6	26.7368439725667	-7.60018045759082	0.0254326862973193	Short Survivor PC2 vs. Long Survivor PC2
NECTIN3	21.6174563595202	-7.55687454591853	0.0979280682584448	Short Survivor PC2 vs. Long Survivor PC2
MTMR9LP	25.0489397567985	-7.51729227007406	0.00170187376346678	Short Survivor PC2 vs. Long Survivor PC2
INSYN2B	12.907694446851	-7.48866721898153	0.0597422212459074	Short Survivor PC2 vs. Long Survivor PC2
CLEC14A	18.3640280648535	-7.46176131065117	0.00313021953124906	Short Survivor PC2 vs. Long Survivor PC2
AC013477.1	31.1269047848884	-7.43719138778736	0.0303050079367502	Short Survivor PC2 vs. Long Survivor PC2
LINC00278	69.5363537043855	-7.41403343063083	0.0806671685246008	Short Survivor PC2 vs. Long Survivor PC2
LRAT	38.4948542682739	-7.39422102018554	0.0373680946202789	Short Survivor PC2 vs. Long Survivor PC2
ADAMTS5	15.2158696038475	-7.30160112409238	0.0223860925856439	Short Survivor PC2 vs. Long Survivor PC2
